时间,行业,行业指数,涨跌幅,流入资金(亿),流出资金(亿),净额(亿),公司家数,领涨股,领涨股涨跌幅,领涨股当前价(元)
2017-12-04 11:10,饮料制造,1984.29,1.22%,25.91,20.45,5.46,40,香飘飘,10.02%,24.71
2017-12-04 11:10,港口航运,917.205,1.00%,6.09,4.37,1.72,28,中远海控,8.01%,6.88
2017-12-04 11:10,机场航运,2109.64,0.95%,6.65,4.44,2.21,11,南方航空,3.98%,11.22
2017-12-04 11:10,石油矿业开采,1853.67,0.80%,3.79,3.36,0.43,13,鄂尔多斯,3.45%,16.48
2017-12-04 11:10,煤炭开采,1406.31,0.59%,13.36,14.04,-0.67,33,山煤国际,2.92%,4.93
2017-12-04 11:10,基础化学,2493.77,0.32%,9.80,10.19,-0.40,45,广汇能源,7.33%,4.83
2017-12-04 11:10,化工新材料,4043.31,0.29%,5.07,4.99,0.08,16,长海股份,2.20%,12.99
2017-12-04 11:10,公路铁路运输,972.366,0.16%,2.50,3.06,-0.56,24,华北高速,8.52%,8.79
2017-12-04 11:10,燃气水务,1613.19,0.07%,3.95,5.08,-1.12,36,百川能源,5.00%,14.50
2017-12-04 11:10,钢铁,1536.02,0.07%,23.17,28.05,-4.88,32,安阳钢铁,3.11%,5.30
2017-12-04 11:10,养殖业,2773.41,-0.01%,2.77,2.52,0.25,24,牧原股份,5.80%,49.80
2017-12-04 11:10,保险及其他,2977.42,-0.10%,31.87,25.46,6.41,25,中国太保,3.21%,42.17
2017-12-04 11:10,有色冶炼加工,1956.57,-0.11%,36.72,37.40,-0.68,79,荣华实业,9.95%,6.19
2017-12-04 11:10,交运设备服务,1196.66,-0.12%,1.15,1.30,-0.15,11,中国中期,2.21%,15.23
2017-12-04 11:10,医药商业,4846.04,-0.16%,1.55,2.28,-0.73,22,海虹控股,9.99%,27.42
2017-12-04 11:10,农产品加工,2762.91,-0.16%,3.45,3.45,-0.00,37,天马科技,4.28%,12.42
2017-12-04 11:10,园区开发,1931.83,-0.27%,0.70,1.20,-0.49,10,电子城,7.06%,11.22
2017-12-04 11:10,电力,1071.54,-0.34%,3.39,4.72,-1.33,69,福能股份,1.78%,8.01
2017-12-04 11:10,白色家电,3612.08,-0.36%,16.79,13.09,3.70,48,小天鹅A,4.37%,58.50
2017-12-04 11:10,采掘服务,1200.25,-0.38%,1.95,3.41,-1.46,15,蓝焰控股,4.97%,17.74
2017-12-04 11:10,银行,1091.29,-0.38%,21.45,20.72,0.74,50,平安银行,1.39%,13.18
2017-12-04 11:10,建筑材料,3985.84,-0.46%,19.56,21.75,-2.19,71,亚泰集团,3.11%,5.63
2017-12-04 11:10,零售,1565.25,-0.46%,7.70,8.17,-0.47,74,中央商场,4.54%,8.98
2017-12-04 11:10,种植业与林业,2477.52,-0.49%,0.73,1.27,-0.54,20,神农基因,1.28%,3.94
2017-12-04 11:10,汽车整车,1585.83,-0.52%,4.16,7.28,-3.12,25,比亚迪,1.53%,64.32
2017-12-04 11:10,综合,1958.18,-0.55%,3.09,4.95,-1.86,28,亿利洁能,5.37%,6.28
2017-12-04 11:10,纺织制造,2010.6,-0.61%,2.28,2.93,-0.65,42,*ST中绒,5.08%,3.52
2017-12-04 11:10,视听器材,2663.53,-0.64%,3.17,3.44,-0.27,13,TCL集团,1.93%,4.23
2017-12-04 11:10,农业服务,7556.61,-0.65%,0.39,0.62,-0.24,9,瑞普生物,0.78%,11.63
2017-12-04 11:10,公交,1241.95,-0.68%,0.10,0.19,-0.10,8,江西长运,0.47%,8.54
